,Played,Won,Lost,Drawn,Points,NRR
South Brent,3,2,0,1,7,1.95
Buckfastleigh,3,2,1,0,6,0.13
Manaton & Moretonhampstead,2,1,1,0,3,1.63
Ilsington,2,0,1,1,1,-0.01
