,Played,Won,Lost,Drawn,Runs Scored,Runs Conceded,Points
Buckfastleigh,5,4,1,0,625,542,12
Dartanians,5,4,1,0,649,599,12
South Brent,4,3,1,0,409,316,9
Manaton & Moretonhampstead,7,3,4,0,737,802,9
Ilsington,7,0,7,0,734,895,0
